Feature,Mean_Absolute_SHAP
Growth_Lag_1,0.6372264531788968
Price_Lag_1,0.5900164418408658
Price_Lag_4,0.47974411593994865
Growth_Lag_4,0.37976082122941557
Time_Index,0.3340241521049987
Quarter,0.32383874039455535
Rolling_Mean_4,0.24481236395337164
Year,0.21835590984233783
