Feature,Importance
Growth_Lag_1,0.26984130359991343
Growth_Lag_4,0.2356971905131005
Quarter,0.10655373911174296
Price_Lag_1,0.0945835687969697
Price_Lag_4,0.08522625670613777
Time_Index,0.07814302301522755
Rolling_Mean_4,0.07410970910296412
Year,0.055845209153944114
