Fold,MAE,RMSE,MAPE
1,5133.250520573849,6690.347779095946,2.5776100150367243
2,7823.499555653388,9968.554241333675,3.421644168182852
3,7814.57361595409,9654.633324027622,2.8778176526298114
4,7787.716116206784,10331.200478892291,2.361881148745234
5,9891.949964945481,12230.940641412768,2.3611405694550665
