Market_Regime,Observations,MAE,MAPE
Declining,39,9567.364246455227,3.5493013694954922
Moderate Growth,26,7343.879015791951,2.4238415393800294
Rapid Growth,11,4286.976312492022,1.7135958181445594
Stable,24,6574.791500288127,2.154570151966609
