Feature_Set,MAE,RMSE,MAPE,MAPE_Std
Seasonal Features,7479.840342146212,9319.878879672946,2.6186468585851492,0.2931271947772124
Price + Growth,7711.7415077184905,9795.171349358834,2.7139893556533656,0.33359496837009434
All Features,7674.835159159195,9750.93594238773,2.7142439897920205,0.4482927790663671
Price Features,7662.4084791431205,9528.078508614624,2.732360336711403,0.4730876799116514
Price + Growth + Time,7774.2891289782465,9890.417650705436,2.7495143634584656,0.4414083115365182
Growth Features,7971.767609186174,9617.525832196523,2.7660171830309728,0.4577020623795154
Rolling Features,7987.220141673926,9762.035191841393,2.843175900147797,0.4430697656739517
Time Features,8603.916646616646,10081.26167061104,2.921237518563382,0.504727052744599
