Market_Regime,Observations_x,Original_MAE,Original_MAPE,Observations_y,Regime_Aware_MAE,Regime_Aware_MAPE,MAPE_Improvement_Percent
Declining,39,8765.464758076063,3.2459249716696976,39,9567.364246455229,3.549301369495492,-9.346377395462039
Moderate Growth,26,8758.54874712746,2.8825230541439004,26,7343.879015791951,2.423841539380029,15.912501171654922
Rapid Growth,10,13645.214593664656,4.938827802285967,11,4286.976312492022,1.7135958181445594,65.3035925376582
Stable,25,2458.2390795596966,0.8199779061393083,24,6574.791500288127,2.154570151966609,-162.7595372796012
