Model,MAE,RMSE,MAPE
Random Forest Growth Model,8676.116947355626,10729.521288024853,2.4219150925973665
Random Forest Original,7674.835159159195,9911.151034083407,2.7142439897920205
Regime-Aware Random Forest,7690.197954666719,9936.542497246388,2.7200187108099376
"SARIMA(1,1,1)(1,1,1,4)",36308.36816223304,47377.75906793592,9.261259404453345
"ARIMA(1,1,1)",59836.49947400811,71855.05853604294,15.550490450639687
Random Forest Baseline,92126.11347619044,107026.549013685,24.079248817338133
