Model,MAE,RMSE,MAPE,MAPE_Std,MAE_Std,RMSE_Std
Random Forest Growth,7674.835159159195,9750.93594238773,2.7142439897920205,0.44829277906636755,1691.02044135704,1984.3648441830562
HistGradientBoosting Growth,8401.378129627014,10346.364010835314,2.9042813964919114,0.6223156343796585,3142.4609086274554,3438.1394920283537
Seasonal Naive (Lag 4),15521.0,19611.194962468453,5.339503505973687,1.0550613331385654,4967.772891346785,8367.730587206128
