Date,Forecast,Lower_CI,Upper_CI
2026-07-01,413377.93325759255,397944.16410121374,428811.70241397136
2026-10-01,418074.02089009335,397850.30070583586,438297.74107435084
2027-01-01,418026.6955888945,393496.04949521547,442557.3416825735
2027-04-01,418577.79656192876,390527.9635731406,446627.6295507169
2027-07-01,422039.368961386,389763.0876634528,454315.65025931917
2027-10-01,426693.1979734685,390850.3843606498,462536.01158628723
2028-01-01,426851.8837592988,387714.142336986,465989.6251816116
2028-04-01,427317.2341890841,385158.0142749923,469476.4541031759
