Fold,Date,Model,Actual_Price,Predicted_Price,Actual_Growth,Predicted_Growth,Residual,Absolute_Error,Percentage_Error,Absolute_Percentage_Error,Prediction_Direction,Quarter
1,2001-07-01,Random Forest Growth,172500,178524.75589061558,-3.631284916201116,-0.265499502449406,-6024.7558906155755,6024.7558906155755,-3.492612110501783,3.492612110501783,Overprediction,3
1,2001-10-01,Random Forest Growth,171100,178601.3890490556,-0.8115942028985468,3.537037129887311,-7501.389049055608,7501.389049055608,-4.384213354211343,4.384213354211343,Overprediction,4
1,2002-01-01,Random Forest Growth,188700,176210.44941512472,10.286382232612512,2.986820230932033,12489.55058487528,12489.55058487528,6.618733749271478,6.618733749271478,Underprediction,1
1,2002-04-01,Random Forest Growth,187200,188869.59537657167,-0.7949125596184436,0.0898756632600299,-1669.5953765716695,1669.5953765716695,-0.8918778721002508,0.8918778721002508,Overprediction,2
1,2002-07-01,Random Forest Growth,178100,191198.91919891155,-4.861111111111116,2.136174785743357,-13098.91919891155,13098.91919891155,-7.354811453628046,7.354811453628046,Overprediction,3
1,2002-10-01,Random Forest Growth,190100,183786.5520531209,6.737787759685565,3.1928984015277257,6313.4479468791105,6313.4479468791105,3.3211193828927463,3.3211193828927463,Underprediction,4
1,2003-01-01,Random Forest Growth,186000,190052.1591562016,-2.156759600210412,-0.0251661461327593,-4052.159156201611,4052.159156201611,-2.1785801915062426,2.1785801915062426,Overprediction,1
1,2003-04-01,Random Forest Growth,191800,192566.3514204297,3.1182795698924792,3.5302964625966355,-766.3514204297098,766.3514204297098,-0.39955757060985914,0.39955757060985914,Overprediction,2
1,2003-07-01,Random Forest Growth,191900,191326.6473304087,0.0521376433785247,-0.2467949267942088,573.3526695912878,573.3526695912878,0.29877679499285453,0.29877679499285453,Underprediction,3
1,2003-10-01,Random Forest Growth,198800,195589.37861271176,3.595622720166758,1.9225526903135932,3210.6213872882363,3210.6213872882363,1.615000697831105,1.615000697831105,Underprediction,4
1,2004-01-01,Random Forest Growth,212700,197540.70486810856,6.991951710261568,-0.6334482554785855,15159.295131891442,15159.295131891442,7.127078106201901,7.127078106201901,Underprediction,1
1,2004-04-01,Random Forest Growth,217600,213239.0584173826,2.3037141513869264,0.2534360213364189,4360.941582617408,4360.941582617408,2.004109183188147,2.004109183188147,Underprediction,2
1,2004-07-01,Random Forest Growth,213500,217732.3458211309,-1.8841911764705843,0.0608206898579558,-4232.345821130904,4232.345821130904,-1.9823633822627185,1.9823633822627185,Overprediction,3
1,2004-10-01,Random Forest Growth,228800,219154.22897379287,7.166276346604206,2.64835080739716,9645.771026207134,9645.771026207134,4.215809014950671,4.215809014950671,Underprediction,4
1,2005-01-01,Random Forest Growth,232500,228945.0846455013,1.6171328671328755,0.0634111212855355,3554.915354498691,3554.915354498691,1.5289958513972866,1.5289958513972866,Underprediction,1
1,2005-04-01,Random Forest Growth,233700,233591.0297348436,0.5161290322580614,0.4692601010080146,108.97026515638572,108.97026515638572,0.046628269215398255,0.046628269215398255,Underprediction,2
1,2005-07-01,Random Forest Growth,236400,235726.3888342556,1.1553273427471034,0.8670897878714385,673.611165744398,673.611165744398,0.28494550158392473,0.28494550158392473,Underprediction,3
1,2005-10-01,Random Forest Growth,243600,240174.48521069283,3.0456852791878264,1.5966519503776742,3425.51478930717,3425.51478930717,1.4062047575152588,1.4062047575152588,Underprediction,4
1,2006-01-01,Random Forest Growth,247700,243558.84019787228,1.6830870279146204,-0.0168964704957752,4141.159802127717,4141.159802127717,1.6718448938747343,1.6718448938747343,Underprediction,1
1,2006-04-01,Random Forest Growth,246300,247844.46927851017,-0.5651998385143298,0.05832429491731,-1544.4692785101652,1544.4692785101652,-0.6270683225782238,0.6270683225782238,Overprediction,2
1,2001-07-01,HistGradientBoosting Growth,172500,177068.75466693647,-3.631284916201116,-1.0789080072980644,-4568.754666936467,4568.754666936467,-2.6485534301080973,2.6485534301080973,Overprediction,3
1,2001-10-01,HistGradientBoosting Growth,171100,179243.4439339521,-0.8115942028985468,3.90924286026208,-8143.443933952105,8143.443933952105,-4.7594646019591496,4.7594646019591496,Overprediction,4
1,2002-01-01,HistGradientBoosting Growth,188700,177565.15575731377,10.286382232612512,3.778583142790041,11134.844242686231,11134.844242686231,5.900818358604256,5.900818358604256,Underprediction,1
1,2002-04-01,HistGradientBoosting Growth,187200,189052.4226865332,-0.7949125596184436,0.1867634798797799,-1852.4226865331875,1852.4226865331875,-0.9895420334044805,0.9895420334044805,Overprediction,2
1,2002-07-01,HistGradientBoosting Growth,178100,190056.01786316768,-4.861111111111116,1.5256505679314478,-11956.017863167683,11956.017863167683,-6.71309256775277,6.71309256775277,Overprediction,3
1,2002-10-01,HistGradientBoosting Growth,190100,183688.50064247227,6.737787759685565,3.1378442686537165,6411.499357527733,6411.499357527733,3.3726982417294757,3.3726982417294757,Underprediction,4
1,2003-01-01,HistGradientBoosting Growth,186000,190070.2916051987,-2.156759600210412,-0.0156277721206233,-4070.2916051986977,4070.2916051986977,-2.1883288199993,2.1883288199993,Overprediction,1
1,2003-04-01,HistGradientBoosting Growth,191800,193404.78967896855,3.1182795698924792,3.981069719875563,-1604.7896789685474,1604.7896789685474,-0.8366995197959057,0.8366995197959057,Overprediction,2
1,2003-07-01,HistGradientBoosting Growth,191900,192500.55380371303,0.0521376433785247,0.3652522438545452,-600.5538037130318,600.5538037130318,-0.3129514349729191,0.3129514349729191,Overprediction,3
1,2003-10-01,HistGradientBoosting Growth,198800,196654.65570743056,3.595622720166758,2.4776736359721507,2145.34429256944,2145.34429256944,1.0791470284554527,1.0791470284554527,Underprediction,4
1,2004-01-01,HistGradientBoosting Growth,212700,197672.52991062723,6.991951710261568,-0.5671378719178883,15027.470089372771,15027.470089372771,7.065101123353442,7.065101123353442,Underprediction,1
1,2004-04-01,HistGradientBoosting Growth,217600,212825.6533923809,2.3037141513869264,0.059075407795448,4774.346607619111,4774.346607619111,2.1940931101190766,2.1940931101190766,Underprediction,2
1,2004-07-01,HistGradientBoosting Growth,213500,216751.0238628464,-1.8841911764705843,-0.3901544747948519,-3251.0238628463994,3251.0238628463994,-1.5227278046118966,1.5227278046118966,Overprediction,3
1,2004-10-01,HistGradientBoosting Growth,228800,219959.89256946035,7.166276346604206,3.0257108053678405,8840.107430539647,8840.107430539647,3.8636833175435523,3.8636833175435523,Underprediction,4
1,2005-01-01,HistGradientBoosting Growth,232500,228634.53927046276,1.6171328671328755,-0.0723167524201269,3865.4607295372407,3865.4607295372407,1.6625637546396737,1.6625637546396737,Underprediction,1
1,2005-04-01,HistGradientBoosting Growth,233700,234075.56748884884,0.5161290322580614,0.677663436064008,-375.5674888488429,375.5674888488429,-0.1607049588570145,0.1607049588570145,Overprediction,2
1,2005-07-01,HistGradientBoosting Growth,236400,237300.1575628969,1.1553273427471034,1.5405038780046518,-900.1575628969003,900.1575628969003,-0.3807773108700932,0.3807773108700932,Overprediction,3
1,2005-10-01,HistGradientBoosting Growth,243600,241883.4344542577,3.0456852791878264,2.3195577217672265,1716.5655457423127,1716.5655457423127,0.7046656591717211,0.7046656591717211,Underprediction,4
1,2006-01-01,HistGradientBoosting Growth,247700,243122.1223650388,1.6830870279146204,-0.1961730849594435,4577.877634961187,4577.877634961187,1.8481540714417388,1.8481540714417388,Underprediction,1
1,2006-04-01,HistGradientBoosting Growth,246300,248895.98146402385,-0.5651998385143298,0.4828346645231385,-2595.9814640238474,2595.9814640238474,-1.0539916622102508,1.0539916622102508,Overprediction,2
1,2001-07-01,Seasonal Naive (Lag 4),172500,168800.0,,,3700.0,3700.0,2.1449275362318843,2.1449275362318843,Underprediction,3
1,2001-10-01,Seasonal Naive (Lag 4),171100,172900.0,,,-1800.0,1800.0,-1.0520163646990064,1.0520163646990064,Overprediction,4
1,2002-01-01,Seasonal Naive (Lag 4),188700,169800.0,,,18900.0,18900.0,10.01589825119237,10.01589825119237,Underprediction,1
1,2002-04-01,Seasonal Naive (Lag 4),187200,179000.0,,,8200.0,8200.0,4.38034188034188,4.38034188034188,Underprediction,2
1,2002-07-01,Seasonal Naive (Lag 4),178100,172500.0,,,5600.0,5600.0,3.1443009545199323,3.1443009545199323,Underprediction,3
1,2002-10-01,Seasonal Naive (Lag 4),190100,171100.0,,,19000.0,19000.0,9.994739610731195,9.994739610731195,Underprediction,4
1,2003-01-01,Seasonal Naive (Lag 4),186000,188700.0,,,-2700.0,2700.0,-1.4516129032258065,1.4516129032258065,Overprediction,1
1,2003-04-01,Seasonal Naive (Lag 4),191800,187200.0,,,4600.0,4600.0,2.398331595411887,2.398331595411887,Underprediction,2
1,2003-07-01,Seasonal Naive (Lag 4),191900,178100.0,,,13800.0,13800.0,7.191245440333508,7.191245440333508,Underprediction,3
1,2003-10-01,Seasonal Naive (Lag 4),198800,190100.0,,,8700.0,8700.0,4.37625754527163,4.37625754527163,Underprediction,4
1,2004-01-01,Seasonal Naive (Lag 4),212700,186000.0,,,26700.0,26700.0,12.552891396332862,12.552891396332862,Underprediction,1
1,2004-04-01,Seasonal Naive (Lag 4),217600,191800.0,,,25800.0,25800.0,11.856617647058822,11.856617647058822,Underprediction,2
1,2004-07-01,Seasonal Naive (Lag 4),213500,191900.0,,,21600.0,21600.0,10.117096018735364,10.117096018735364,Underprediction,3
1,2004-10-01,Seasonal Naive (Lag 4),228800,198800.0,,,30000.0,30000.0,13.111888111888112,13.111888111888112,Underprediction,4
1,2005-01-01,Seasonal Naive (Lag 4),232500,212700.0,,,19800.0,19800.0,8.516129032258064,8.516129032258064,Underprediction,1
1,2005-04-01,Seasonal Naive (Lag 4),233700,217600.0,,,16100.0,16100.0,6.889174154899444,6.889174154899444,Underprediction,2
1,2005-07-01,Seasonal Naive (Lag 4),236400,213500.0,,,22900.0,22900.0,9.686971235194585,9.686971235194585,Underprediction,3
1,2005-10-01,Seasonal Naive (Lag 4),243600,228800.0,,,14800.0,14800.0,6.075533661740558,6.075533661740558,Underprediction,4
1,2006-01-01,Seasonal Naive (Lag 4),247700,232500.0,,,15200.0,15200.0,6.1364553895841745,6.1364553895841745,Underprediction,1
1,2006-04-01,Seasonal Naive (Lag 4),246300,233700.0,,,12600.0,12600.0,5.115712545676005,5.115712545676005,Underprediction,2
2,2006-07-01,Random Forest Growth,235600,251250.6914832318,-4.344295574502644,2.0100249627412885,-15650.691483231814,15650.691483231814,-6.642908099843724,6.642908099843724,Overprediction,3
2,2006-10-01,Random Forest Growth,245400,245090.04522709807,4.1595925297113645,4.028032778904105,309.954772901925,309.954772901925,0.1263059384278423,0.1263059384278423,Underprediction,4
2,2007-01-01,Random Forest Growth,257400,249385.2666258547,4.88997555012225,1.6239880300956375,8014.733374145289,8014.733374145289,3.1137270295824746,3.1137270295824746,Underprediction,1
2,2007-04-01,Random Forest Growth,242200,260048.1773342032,-5.905205905205902,1.0288179231558474,-17848.17733420321,17848.17733420321,-7.369189650785801,7.369189650785801,Overprediction,2
2,2007-07-01,Random Forest Growth,241800,251308.96070262865,-0.1651527663088403,3.760925145593987,-9508.960702628654,9508.960702628654,-3.9325726644452663,3.9325726644452663,Overprediction,3
2,2007-10-01,Random Forest Growth,238400,247461.79187480643,-1.4061207609594728,2.3415185586461758,-9061.791874806426,9061.791874806426,-3.8010871958080643,3.8010871958080643,Overprediction,4
2,2008-01-01,Random Forest Growth,233900,248606.7781861156,-1.8875838926174504,4.281366688806883,-14706.77818611561,14706.77818611561,-6.287634966274309,6.287634966274309,Overprediction,1
2,2008-04-01,Random Forest Growth,235300,242632.1494953672,0.5985463873450225,3.733283238720461,-7332.149495367194,7332.149495367194,-3.1160856333902225,3.1160856333902225,Overprediction,2
2,2008-07-01,Random Forest Growth,226500,236617.6876552145,-3.739906502337442,0.5600032533848232,-10117.687655214511,10117.687655214511,-4.466970267202875,4.466970267202875,Overprediction,3
2,2008-10-01,Random Forest Growth,222500,233472.0223444096,-1.7660044150110354,3.0781555604457167,-10972.022344409605,10972.022344409605,-4.931245997487463,4.931245997487463,Overprediction,4
2,2009-01-01,Random Forest Growth,208400,232283.03626572184,-6.33707865168539,4.396870231785108,-23883.036265721836,23883.036265721836,-11.460190146699539,11.460190146699539,Overprediction,1
2,2009-04-01,Random Forest Growth,220900,215490.68347473847,5.99808061420346,3.4024392873025207,5409.316525261529,5409.316525261529,2.4487625736810905,2.4487625736810905,Underprediction,2
2,2009-07-01,Random Forest Growth,214300,220893.90106221204,-2.987777274784975,-0.0027609496550366,-6593.90106221204,6593.90106221204,-3.076948699119011,3.076948699119011,Overprediction,3
2,2009-10-01,Random Forest Growth,219000,221304.5352334748,2.1931871208586085,3.2685652046079223,-2304.535233474802,2304.535233474802,-1.0522991933674897,1.0522991933674897,Overprediction,4
2,2010-01-01,Random Forest Growth,222900,221403.36530608888,1.7808219178082174,1.097427080405871,1496.6346939111245,1496.6346939111245,0.6714377271920702,0.6714377271920702,Underprediction,1
2,2010-04-01,Random Forest Growth,219500,224191.50812564563,-1.5253476895468854,0.5794114516131043,-4691.508125645632,4691.508125645632,-2.1373613328681698,2.1373613328681698,Overprediction,2
2,2010-07-01,Random Forest Growth,224100,228219.1835394698,2.095671981776759,3.972293184268713,-4119.183539469814,4119.183539469814,-1.8381006423336965,1.8381006423336965,Overprediction,3
2,2010-10-01,Random Forest Growth,224300,225213.88453771867,0.0892458723783962,0.4970479864875803,-913.8845377186663,913.8845377186663,-0.40743849207252175,0.40743849207252175,Overprediction,4
2,2011-01-01,Random Forest Growth,226900,228596.2411270885,1.1591618368256729,1.9153995216622857,-1696.2411270884913,1696.2411270884913,-0.7475721141862015,0.7475721141862015,Overprediction,1
2,2011-04-01,Random Forest Growth,228100,230255.132571214,0.5288673424415968,1.4786833720643282,-2155.132571213995,2155.132571213995,-0.9448191894844344,0.9448191894844344,Overprediction,2
2,2006-07-01,HistGradientBoosting Growth,235600,248124.5044730137,-4.344295574502644,0.7407651128760447,-12524.504473013687,12524.504473013687,-5.3160035963555545,5.3160035963555545,Overprediction,3
2,2006-10-01,HistGradientBoosting Growth,245400,246645.43865959463,4.1595925297113645,4.688216748554593,-1245.438659594627,1245.438659594627,-0.5075137162162294,0.5075137162162294,Overprediction,4
2,2007-01-01,HistGradientBoosting Growth,257400,251833.46990544797,4.88997555012225,2.621625878340659,5566.5300945520285,5566.5300945520285,2.162599104332567,2.162599104332567,Underprediction,1
2,2007-04-01,HistGradientBoosting Growth,242200,262056.61362564543,-5.905205905205902,1.8090962026594533,-19856.613625645434,19856.613625645434,-8.198436674502656,8.198436674502656,Overprediction,2
