Fold,RF_MAE,Historical_Mean_MAE,RF_MAPE,Historical_Mean_MAPE,MAE_Difference,MAPE_Difference
1,5127.3568448805545,5759.233293081622,2.572516523015699,2.909589177523448,-631.8764482010674,-0.3370726545077489
2,7839.316045237099,7179.451033391028,3.428632877712609,3.137560409142322,659.865011846071,0.29107246857028723
3,7747.702673141478,6383.61812996723,2.854118310409905,2.382098693987438,1364.0845431742482,0.47201961642246726
4,7769.748942174114,8299.821659320145,2.3558444744339497,2.5448364937096226,-530.0727171460312,-0.18899201927567288
5,9890.05129036273,10090.915111321432,2.360107763387938,2.412258786783616,-200.8638209587025,-0.05215102339567812
