Market_Regime,Observations,MAE,RMSE,MAPE,Mean_Residual
Declining,39,8765.464758076063,10954.273419291249,3.2459249716696976,-8525.00555926547
Stable,25,2458.2390795596966,3211.476726861105,0.8199779061393083,146.81244614132214
Moderate Growth,26,8758.54874712746,10177.574076618363,2.8825230541439004,8205.466424560203
Rapid Growth,10,13645.214593664656,14806.233170565529,4.938827802285967,13645.214593664656
